Product Name,Product Price,Product Rating,Number of Reviews,Product Units Sold,Product Category,Product URL,Product Image URL
"5pcs Womens Thermal Fleece Lined High Waisted Leggings ,Workout Winter Warm Thick Tights Soft Yoga Pants, Women's Clothing",28.89,4.8,25682,43K+,in Women's Yoga Apparel,https://www.temu.com/5pcs-womens-thermal-fleece-lined-high-waisted-leggings-workout-winter-warm-thick-tights-soft-yoga-pants-womens-clothing-g-601099521687660.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/d38bfd7f73fedaa3dcabcc6e290fd649.jpg?imageView2/2/w/500/q/70/format/webp
"Portable Air Compressor: 150PSI Cordless Car Tire Inflator Pump With Pressure Gauge & Light - Perfect For Cars, Motorcycles & Bicycles!",23.78,4.7,144920,69K+,in Tools & Equipment,https://www.temu.com/car-tire-inflator-pump-portable-air-compressor-150psi-cordless-air-pump-for-car-motorcycle-bicycle-tires-electric-tire-pump-with-pressure-gauge-light-g-601099513846743.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/c23b98c8a36576d83ed4e411bf625604.jpg?imageView2/2/w/500/q/70/format/webp
"1pc Quilted Waterproof Mattress Protector (Without Pillow And Core), Soft Comfortable Solid Color Bedding Mattress Cover, For Bedroom, Guest Room, With Deep Pocket, Fitted Bed Sheet Only",17.97,4.8,7942,66K+,in Bedding,https://www.temu.com/1pc-quilted-waterproof-mattress-protector-soft-comfortable-solid-color-bedding-mattress-cover-for-bedroom-guest-room-with-deep-pocket-fitted-bed-sheet-only-g-601099525448382.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/b7b040e805ecfde53a61fa47c9354ec3.jpg?imageView2/2/w/500/q/70/format/webp
"Car Mounted Vacuum Cleaner, Super Strong, High-power, High Suction, Dry And Wet Dual-purpose Sedan, Small, Mini, Handheld, Multi-functional, Portable",13.48,4.5,53857,100K+,in Car Interior Care,https://www.temu.com/car-mounted-vacuum-cleaner-super-strong-high-power-high-suction-dry-and-wet-dual-purpose-sedan-small-mini-handheld-multifunctional-portable-g-601099517371076.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/5f653834fd7c83e8b9106609ffbc1233.jpg?imageView2/2/w/500/q/70/format/webp
"1080P Dual Camera,Dash Cam For Cars,Front And Inside,car Camera With IR Night Vision,Loop Recording,wide Angle Car DVR Camera With 3.16 Inch IPS Screen,dual Lens Car Dashboard Video Cam",19.48,4.6,5467,46K+,in Car Audio & Video,https://www.temu.com/1080p-dual-camera-dash-cam-for-cars-front-and-inside-car-camera-with-ir-night-vision-loop-recording-wide-angle-car-dvr-camera-with-3-16-inch-ips-screen-dual-lens-car-dashboard-video-cam-g-601099524177526.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/25be14cb386e9b6d760f5105da23f663.jpg?imageView2/2/w/500/q/70/format/webp
"New E99 K3 Professional RC Drone, Dual Camera Double Folding RC Quadcopter Height Hold Remote Control Toy Men Kids Toy Best Holiday Gift Indoor And Outdoor Cheap Drone Aircraft",18.98,4.5,5591,77K+,in Drones & Flying toys,https://www.temu.com/new-e99-pro-k3-professional-rc--hd-dual-camera-hd-double-folding-rc--height-hold-remote-control-toy-men-kids-toy-best-holiday-gift-indoor-and-outdoor-cheap--aircraft-g-601099520092589.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/8ef08e7680ca4792a02f854105fb7fba.jpg?imageView2/2/w/500/q/70/format/webp
"Waffle Pattern Solid Hoodie, Cool Hoodies For Men, Men's Casual Pullover Hooded Sweatshirt Streetwear For Spring Fall, As Gifts",10.07,4.7,16681,100K+,in Men's Hoodies & Sweatshirts,https://www.temu.com/waffle-pattern-solid-hoodie-cool-hoodies-for-men-mens-casual-pullover-hooded-sweatshirt-with-kangaroo-pocket-streetwear-for-winter-fall-as-gifts-g-601099523924711.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/5cc243b261a6bc60be4c154560e82f7c.jpg?imageView2/2/w/500/q/70/format/webp
1pc Chicken Flavor Noodle Soup Fennel Blanket For All Seasons Lunch Break Blanket Warm Cozy Soft Throw Blanket Cozy Lightweight Blanket For Couch Bed Travel Camping Living Room Office Sofa Chair Bed Flannel Blanket,6.09,4.6,19760,40K+,in Blankets & Throws,https://www.temu.com/1pc-chicken-flavor-noodle-soup-fennel-blanket-for-all-seasons-lunch-break-blanket-warm-cozy-soft-throw-blanket-cozy-lightweight-blanket-for-couch-bed-travel-camping-living-room-office-sofa-chair-bed-flannel-blanket-g-601099527515472.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/e34c9edd4f18d8c9f2569503cc10cd71.jpg?imageView2/2/w/500/q/70/format/webp
"Women's Ankle Boots, Winter Thermal Insulated Slip On Snow Boots, Women's Winter Boots",7.78,4.7,96879,100K+,in Women's Winter Boots,https://www.temu.com/womens-waterproof-ankle-boots-winter-thermal-insulated-slip-on-snow-shoes-womens-footwear-g-601099512144421.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/5393f6215cd52fa2ea32f123936f570b.jpg?imageView2/2/w/500/q/70/format/webp
"Warm Fuzzy Pajama Set, Long Sleeve Hooded Robe & Tank Top & Drawstring Shorts, Women's Sleepwear & Loungewear",13.28,4.7,9423,56K+,in Women's Sleepwear,https://www.temu.com/warm-fuzzy-pajama-set-long-sleeve-hooded-robe-tank-top-drawstring-shorts-womens-sleepwear-loungewear-g-601099519044945.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/6d3b3f6199f7d87bc03df2c014b49210.jpg?imageView2/2/w/500/q/70/format/webp
